S.no,Dealer Name,Fabrication Number,Product Sub Group,Warranty Type,Model,Customer Name,Fabrication Number,Location,OEM person,Model,ESN,Service data,Service HMR,Category,Segment,Service Engineer,Comm Date,,Inv Date,Latest Service Call,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,,Feb-26,DATE,HMR,LAST SERCICE DETAIL,HMR,Last service date,OF,AFC,AFE,AOS,VK,OF HMR,OF LAST SERVICE DATE,HMR of OF since last service,Days of OF  since last service,HMR DUE,AGEING DUE,AFC HMR,AFC SERVICE DATE,HMR of AFC since last service,Days of AFC  since last service,AFE HMR,AFE SERVICE DATE,HMR of AFE since last service,Days of AFE  since last service,AOS HMR,AOS DATE,HMR of AOS since last service,Days of AOS  since last service,VK HMR,VK DATE,HMR of VK since last service,Days of VK since last service,status,Shifted,Scrapped,Dealer Remarks,Oil R Date,AFC R Date,AFE R Date,MOF R Date,ROF R Date,AOS R Date,RGT R Date,1500 kit R Date,3000 kit R Date
Out of Warranty,A,BULD162559,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,SHIV MINING DRILLING,BULD162559,"JINAGORA, JHARIA",Amit,,LMHM115525,,,A (100% potential spares purchased),,Bikram  Sahoo,15-Apr-21,15-Apr-23,16-Mar-21,CC-01826943,11530,,,,0,12013,11990,0,05-02-2026,12013,Attend the site for schedule service so drain oil from tank and drain oil from cooler total 38 liters oil drain then change oil filter and compressor side air filter then then oil 40 liters after then start the unit found running ok.,12000,20-01-2026,yes,yes,0,0,0,12000,20-01-2026,13,16,,,0,15-04-2021,12013,1756,11750,20-11-2025,263,77,8500,07-11-2023,3513,821,9400,07-03-2024,2613,700,Active,,,0,19-Jan-26,19-Jan-26,19-Jan-26,19-Jan-26,19-Jan-26,19-Nov-25,19-Nov-25,19-Nov-25,19-Nov-25
Out of Warranty,A,BULD162577,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,JRR PROJECTS,BULD162577,"BASKATOLA,Pakur",Amit,,LMHM115482,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,03-May-21,03-May-23,26-Mar-21,CC-01852343,,13590,,13750,13859,,0,13795,05-02-2026,13795,"Service spares purchase from us and done scheduled service by itself and change air filter, oil filter, air oil separator, MPV KIT, BDV KIT, ARV KIT, PRESSURE REGULATOR SWITCH AND ELGI air lube Plus oil 40 liters.",13725,24-10-2025,0,0,0,0,0,0,03-05-2021,13795,1738,,,0,03-05-2021,13795,1738,0,03-05-2021,13795,1738,0,03-05-2021,13795,1738,0,03-05-2021,13795,1738,Active,,,Inactive,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25,23-Oct-25
Out of Warranty,A,BULD162579,DPSAC - TROLLEY (C&M),Out of warranty,PG 450 - 150 2W 6BTA,UPWELL MINING SERVICES,BULD162579,"CHANDAN KAYARI, DHANBAD",Amit,,02M8493165,,,A (100% potential spares purchased),DRILLING APPLICATION                                                            ,Bikram  Sahoo,25-May-21,25-May-23,26-Mar-21,CC-01852099,,2920,,3030,3103,3197,0,3060,05-02-2026,3060,0,No Service,04-06-2021,0,0,0,0,0,0,25-05-2021,3060,1717,,,0,25-05-2021,3060,1717,0,25-05-2021,3060,1717,0,25-05-2021,3060,1717,0,25-05-2021,3060,1717,Active,,,Spurious,,,,,,,,,
Out of Warranty,A,BULL160559,DPSAC - SKID (C&M),Out of warranty,PG 90E-12.5,Shruti devothers pvt. ltd,BULL160559,"SHEIKHPURA, BIHAR",Ajay,NA,NA,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,20-May-21,20-May-23,24-Mar-21,CC-01826952,15260,,16520,,0,19099,0,0,05-02-2026,19099,"Attend the site for scheduled service so drain oil from the tank and drained oil from the cooler total 38 liters oil drain then change air filter for compressor side, change oil filter, change pressure regulator switch, change solenoid valve kit, change thermal valve and change 40 liters ELGi air lube Plus oil. Then start the unit found running ok.",16504,03-10-2025,0,0,0,0,0,16504,03-10-2025,2595,125,,,16504,03-10-2025,2595,125,NA,NA,#VALUE!,#VALUE!,12968,28-09-2024,6131,495,16504,03-10-2025,2595,125,Active,,,0,02-Oct-25,02-Oct-25,02-Oct-25,02-Oct-25,02-Oct-25,27-Sep-24,02-Oct-25,02-Oct-25,02-Oct-25
Out of Warranty,A,BULD162568,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,JRR PROJECTS,BULD162568,"BHOWRA,Dhanbad",Amit,,LMHM115367,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,18-May-21,18-May-23,26-Mar-21,CC-01852331,,10460,,10780,10999,11281,0,10870,05-02-2026,10870,0,7100,06-12-2023,0,0,0,0,0,7100,06-12-2023,3770,792,,,7100,06-12-2023,3770,792,7100,06-12-2023,3770,792,3127,19-09-2022,7743,1235,1537,14-04-2022,9333,1393,Active,,,Inactive,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23,05-Dec-23,30-Jul-23,30-Jul-23,30-Jul-23,30-Jul-23
Out of Warranty,A,BUAD121111,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 150 HINO,Bokaro Steel Ltd.,BUAD121111,TRAFFIC DEPARTMENT BOKARO,Amit,,LMHM114571,,,A (100% potential spares purchased),STEEL MILLS                                                                     ,Bikram  Sahoo,23-Apr-22,23-Apr-24,19-Apr-21,CC-01827512,590,,590,,590,590,590,0,05-02-2026,590,0,No Service,NO Service,0,0,0,0,0,0,23-04-2022,590,1384,,,0,23-04-2022,590,1384,0,23-04-2022,590,1384,0,23-04-2022,590,1384,0,23-04-2022,590,1384,Active,,,0,,,,,,,,,
Out of Warranty,Shifted,BUDD162713,DPSAC - SKID (C&M),Out of warranty,PG 550S-200,MAA TARA ENTERPRISES,BUDD162713,"BHOWRA,Dhanbad",Amit,,MHHM107152,,,A (100% potential spares purchased),,Debraj Manna,20-Aug-21,20-Aug-23,19-Jul-21,CC-01160128,,,,,0,,#N/A,#N/A,05-02-2026,#N/A,0,752,10-05-2022,0,0,0,0,0,0,20-08-2021,#N/A,1630,,,0,20-08-2021,#N/A,1630,0,20-08-2021,#N/A,1630,0,20-08-2021,#N/A,1630,0,20-08-2021,#N/A,1630,Shifted to Maharashtra,Shifted to Maharashtra,,,20-Jul-23,20-Jul-23,20-Jul-23,20-Jul-23,,16-Jan-23,,16-Jan-23,
Out of Warranty,Scraped,BUCD121176,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,Keshav Generators Private Limited,BUCD121176,"NEAR OVER BRIDGE, RANCHI",Samarjeet,,MHHM107189,,,A (100% potential spares purchased),MINING                                                                          ,Bikram  Sahoo,13-Jul-21,13-Jul-23,30-Jun-21,CC-01773964,,,,,0,,#N/A,#N/A,05-02-2026,#N/A,0,1650,05-12-2023,0,0,0,0,0,0,13-07-2021,#N/A,1667,,,0,13-07-2021,#N/A,1667,0,13-07-2021,#N/A,1667,0,13-07-2021,#N/A,1667,0,13-07-2021,#N/A,1667,SCRAPPED,,SCRAPPED,,04-Dec-23,04-Dec-23,17-Mar-23,04-Dec-23,04-Dec-23,,,,
Out of Warranty,A,BUGD162826,DPSAC - SKID (C&M),Out of warranty,PG 500-185,Anwar Hussain,BUGD162826,"KHAKHSA PAHAR, PAKURIYA, PAKUR",Amit,,MEHM109238,,,A (100% potential spares purchased),,Bikram  Sahoo,20-Dec-21,20-Dec-23,06-Oct-21,CC-01852448,,9925,,10030,10103,10197,0,10060,05-02-2026,10060,0,5388,15-11-2023,0,0,0,0,0,0,20-12-2021,10060,1508,,,0,20-12-2021,10060,1508,0,20-12-2021,10060,1508,0,20-12-2021,10060,1508,0,20-12-2021,10060,1508,Active,,,0,14-Nov-23,14-Nov-23,14-Nov-23,14-Nov-23,14-Nov-23,14-Nov-23,14-Nov-23,14-Nov-23,14-Nov-23
Out of Warranty,A,BUCD121174,DPSAC - TROLLEY (C&M),Out of warranty,PG 300 - 100 2W HINO,CHANDAN SINGH INFRASTRUCTURE PVT. LTD.,BUCD121174,"SIMRAHI, SUPOL, BIHAR",Ajay,,MGHM158527,,,A (100% potential spares purchased),,Bikram  Sahoo,30-Dec-21,30-Dec-23,29-Jun-21,CC-01827163,6210,,6210,,0,,0,0,05-02-2026,,0,0,21-04-2025,0,0,0,0,0,0,30-12-2021,#VALUE!,1498,,,0,30-12-2021,#VALUE!,1498,0,30-12-2021,#VALUE!,1498,0,30-12-2021,#VALUE!,1498,0,30-12-2021,#VALUE!,1498,Active,,,Low running,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,16-Feb-24,,,,
